noOfComments,bodyLength,bodyContent,commentsSentimentValue,noOfevents,filteredUsers,noOfDevelopers,bugAuthor,labels,sameBugFixTime,timeToFix,sameBugFixTimeClass,timeToFixClass
2,3310,"Nested file:/ module deduplicates it's dependencies causing runtime errors ,  I'm opening this issue because: - [ ] npm is crashing. - [x] npm is producing an incorrect install. - [ ] npm is doing something I don't understand. - [ ] Other (_see below for feature requests_): What's going wrong?For context, we are attempting to migrate an existing monolithic repository to use",2.708,3,"iarna,sidhuko",2,sidhuko,"bug,npm5",416.9530555555556,351.65694444444443,4,4
1,3121,"Node.js 8 + npm 5 install winston-mail@~0.5.0: No matching version found for moment@= 1.7.0 ,  I'm opening this issue because: - [ ] npm is crashing. - [x] npm is producing an incorrect install. - [ ] npm is doing something I don't understand. - [ ] Other (_see below for feature requests_): What's going wrong?winston-mail version ~0.5.0 is not installed after the update of npm (to version 5)",1.125,6,"KenanY,zkat",2,harishanchu,"bug,npm5",597.6052777777778,185.42527777777778,5,4
5,1553,"npm unconditionally creates $prefix/etc (reopen #11486) ,  I'm opening this issue because: - [ ] npm is crashing. - [x] npm is producing an incorrect install. - [ ] npm is doing something I don't understand. - [ ] Other (_see below for feature requests_): - [x] the previous bugrepport was automatically closed: 11486 What's going wrong?If you use a prefix t",-8.454999999999998,19,"iarna,zkat,npm-robot,peschee,romainwurtz,matthispaita,shine-on",7,Zombaya,bug,4.858333333333333,7421.951388888889,1,7
1,1313,"npm 5.0.3 behaves strangely if package.json is read-only ,  I'm opening this issue because: - [ ] npm is crashing. - [ ] npm is producing an incorrect install. - [x] npm is doing something I don't understand. - [ ] Other (_see below for feature requests_): What's going wrong?This is on Windows. We don't all use git for source control. I use Perforce. So fil",0.25,15,"radcapitalist,KenanY,zkat",3,radcapitalist,"bug,npm5",2945.597777777778,539.6566666666666,6,5
7,3160,"npm i --no-save ../foo deletes foo's node_packages folder ,  I'm opening this issue because: - [X] npm is producing an incorrect install. - [X] npm is doing something I don't understand. What's going wrong?I have one package that depends on another. I updated the dependant package, and am testing locally, so I didn't feel like pushing to github and stuff. So",-4.660000000000002,3,"iarna,eamodio,ericeslinger",3,ericeslinger,"bug,npm5",988.0180555555555,656.3402777777778,5,5
6,2745,"Broken symlink to nested local dependency on install with package-lock.json ,  I'm opening this issue because: - [ ] npm is crashing. - [x] npm is producing an incorrect install. - [ ] npm is doing something I don't understand. - [ ] Other (_see below for feature requests_): What's going wrong?I have a project that has nested local dependencies in relative paths:.├── package_",-4.457000000000006,3,"iarna,revelt,realappie,JeanPerriault,sidhuko",5,afters,"bug,npm5",10545.083055555555,706.5633333333334,7,5
9,510,"npm download & update error : cache dir error?!  , 2017-06-06오후 2:29 Create Express Project Cannot create Node.js Express App: Failed command: E:\Nodejs\node.exe C:\Users\월인천강\AppData\Roaming\npm\node_modules\npm\bin\npm-cli.js install Exit code: 1 Standard error: npm ERR! C:\Users\월인천강\AppData\Roaming\npm-cache\_cacache is not a legal HTTP header v",-154.91699999999994,8,"zkat,clickclouds,HashubWang",3,clickclouds,"bug,npm5",14100.735555555555,1.9994444444444444,7,1
5,1464,"npm5 fails with combination of bundledDependencies and shrinkwrap , Scenario is a top-level package with an npm-shrinkwrap.json with some dependencies having _their_ dependencies bundled.This is reproducibly broken with this publicly accessible combination: - npm@5.0.2 - apiconnect@2.6.50Under npm@4, npm i -g apiconnect works as expected, but with npm@5, it gets tri",-33.47499999999998,14,"zkat,rmg,iarna",3,rmg,"bug,npm5,shrinkwrap",306.58472222222224,69.22,4,2
11,1675,"dependencies with ""tag || version"" are skipped. ,  I'm opening this issue because: - [ ] npm is crashing. - [x] npm is producing an incorrect install. - [ ] npm is doing something I don't understand. - [ ] Other (_see below for feature requests_): What's going wrong?Dependencies with version strings of ""tagname || ^1.0.0"" are completely skipped. I",14.749,14,"KenanY,zkat,jsg2021",3,jsg2021,"bug,npm5",2666.4083333333333,93.40666666666667,6,3
21,3189,"NPM5 Permissions Issue ,  I'm opening this issue because: - [ ] npm is crashing. - [x] npm is producing an incorrect install. - [ ] npm is doing something I don't understand. - [ ] Other (_see below for feature requests_): What's going wrong?With npm 5.0.0 when I try to install a handful of packages they give different perm",-0.08099999999999719,19,"zkat,maxogden,xjamundx,isaacs,marklagendijk,chrmoritz,callumlocke,kanongil,dhniels,nickwalkmsft,cebor,danielbeardsley,olalonde",13,xjamundx,"bug,npm5,patch-welcome,starter",6.283055555555555,766.9630555555556,1,5
9,1405,"npm5 save-dev doesn't install other dependencies or generate accurate lockfile ,  I'm opening this issue because: - [ ] npm is crashing. - [x] npm is producing an incorrect install. - [ ] npm is doing something I don't understand. - [ ] Other What's going wrong?If you have a package.json with some dependencies, you have not run npm install, and you don't have a lockfile, when yo",-0.532,18,"zkat,cr101,anp,brentvatne,zorobabel,deadcoder0904,iarna,treyp",8,brentvatne,"bug,installer,npm5,shrinkwrap",4470.841944444444,6720.395277777778,7,7
5,915,"Add an option to get rid of resolved field in package-lock.json ,  I'm opening this issue because: - [ ] npm is crashing. - [ ] npm is producing an incorrect install. - [ ] npm is doing something I don't understand. - [x] Other (_see below for feature requests_): What's the feature?The story is we have a registry which only serves our internal network so developer",-13.722999999999992,16,"zkat,otakustay,josmardias",3,otakustay,"bug,needs-repro,npm5",8.248611111111112,97.1613888888889,1,3
54,1335,"npm 5; ""Cannot read property 'type' of undefined"" ,  I'm opening this issue because: - [x] npm is crashing. - [ ] npm is producing an incorrect install. - [ ] npm is doing something I don't understand. - [ ] Other (_see below for feature requests_): What's going wrong?npm install browserify or npm install --save-dev browserify How can the CLI team re",-9.632999999999997,30,"zkat,iarna,nicojs,simondel,tivac,ds82,hummal,4,forivall,Dudemullet,pocesar,donaldpipowitch,squarrel,bbrzoska,grantila,ljharb,7Pass,pospi,WaleedAshraf,asymmetric,orefalo,montogeek",22,ljharb,"bug,npm5",46.62083333333333,194.97833333333332,2,4
4,2097,"Proxy authentication does not work correctly ,  I'm opening this issue because: - [ ] npm is crashing. - [ ] npm is producing an incorrect install. - [ ] npm is doing something I don't understand. - [x] Other (_see below for feature requests_): What's going wrong?I can not install any package under proxy with authentication.NPM get this error me",-10.48,4,"zkat,tmyt,CunhaGus",3,tmyt,"bug,npm5,proxy",6010.317222222222,130.70638888888888,7,3
10,5232,"npm@5 ignores `""os"": [""darwin""]` on Windows ,  This problem block the installation of packages that use optionalDependencies to depend on some versions of fsevents I'm opening this issue because: - [X] npm is producing an incorrect install. What's going wrong?When I run npm i fsevents@0.3.4 on windows, it actually tries (and fails) to install..",2.8410000000000006,14,"zkat,iarna,gaearon,refack,oswaldofreitas,jthegedus,jaredbeck,reeddunkle",8,refack,"bug,npm5,platform-integration",0.7794444444444445,745.5194444444444,1,5
4,2962,"npm is removing last character on install ,  I'm opening this issue because: - [ ] npm is crashing. - [x] npm is producing an incorrect install. - [ ] npm is doing something I don't understand. - [ ] Other (_see below for feature requests_): What's going wrong?when package has more than 100 characters in path last character is removed How can",6.042000000000001,3,"mika1111,iarna,alexeykostevich,PfxMobile",4,mika1111,bug,46.62083333333333,6883.841388888889,2,7
10,1045,"Changes in npm5 break my optional dependencies workflow ,  I'm opening this issue because: - [x] npm is producing an incorrect install. - [x] npm is doing something I don't understand. What's going wrong? How can the CLI team reproduce the problem?npm i @gov.au/body (btw running this twice will eventually work)Will produce an error:ENOENT: no such file or",18.74,10,"zkat,dominikwilkowski,elclanrs",3,dominikwilkowski,"bug,lifecycle,npm5",348.34722222222223,793.7830555555555,4,5
26,3503,"npm gets permissions of node_modules all wrong ,  I'm opening this issue because: - [ ] npm is crashing. - [x] npm is producing an incorrect install. - [x] npm is doing something I don't understand. - [ ] Other (_see below for feature requests_): What's going wrong?When installing modules in a freshly cloned git repo using npm install on npm versi",17.012999999999998,30,"Cyberuben,zkat,alexrsagen,iarna,Osmose,mythmon,jezdez,colinfindlay-nz,rgrove,haggholm,DanRagle,mhart,tailhook,jspiro,cadavre,atpalmer,theNailz,babak1199,nardeas",19,Cyberuben,"bug,npm5",4.858333333333333,774.9536111111111,1,5
5,3296,"Git dependencies for semver-based matching: npm install not updating to new version ,  I'm opening this issue because: - [x ] npm is producing an incorrect install. What's going wrong?According to The npm Blog> Git dependencies now support semver-based matching: npm install git://github.com/npm/npmsemver:^5 (15308, 15666)I was under the impression that the node modules installed via",-17.082,6,"zkat,isurfbecause",2,isurfbecause,"bug,git,npm5",5267.825277777778,80.35666666666667,7,2
11,1203,"npm publish --tag regression? ,  I'm opening this issue because: - [ ] npm is crashing. - [ ] npm is producing an incorrect install. - [x] npm is doing something I don't understand. - [ ] Other (_see below for feature requests_): What's going wrong?npm publish --tag alpha did not use the alpha tag and instead used latest.npm 3.x,",-42.056,15,"zkat,jsg2021,costel-petrescu",3,jsg2021,"bug,npm5",603.9258333333333,123.565,5,3
15,27408,"npm5 not installing a subdependency ,  I'm opening this issue because: - [x] npm is producing an incorrect install. What's going wrong?npm5 is not installing a subdependency emoji-regex when I install a direct dependency github-slugger. How can the CLI team reproduce the problem?I'm just doing, from an empty directory:sh$ npm i -ddd git",19.767,30,"zkat,next-zz,revin,lukechilds,iarna,aqrln",6,revin,"bug,dependencies,npm5",4470.841944444444,306.58472222222224,7,4
57,3129,"npm5: Crash when publishing tarballs directly (formerly: Cannot read property 'algorithm' of undefined) ,  I'm opening this issue because: - [x] npm is crashing. - [ ] npm is producing an incorrect install. - [ ] npm is doing something I don't understand. - [ ] Other (_see below for feature requests_): What's going wrong?I am running into an error when publishing a packed package. How can the CLI team r",0,30,"zkat,simonua,rmg,andvgal",4,simonua,"bug,npm5",375.1936111111111,4470.841944444444,4,7
8,1114,"npm install with relative local path adds absolute path to package.json ,  I'm opening this issue because: - [ ] npm is crashing. - [X ] npm is producing an incorrect install. - [ ] npm is doing something I don't understand. - [ ] Other (_see below for feature requests_): What's going wrong?When I add a local path to npm with this command:npm install -S ../barAccording to",0,6,"iarna,briandipalma",2,jbcpollak,bug,5178.521111111111,3358.9333333333334,7,6
7,1529,"npm doctor fails against a Nexus 3 NPM repository ,  I'm opening this issue because: - [ ] npm is crashing. - [ ] npm is producing an incorrect install. - [ ] npm is doing something I don't understand. - [x] Other (_see below for feature requests_): What's going wrong?Beside npm doctor everything else seems to work fine. I can both install and publis",-3.5310000000000006,9,"othiym23,watilde,danshome,KenanY,legodude17",5,danshome,"bug,supportability",4.858333333333333,2945.597777777778,1,6
27,973,"npm install issue  , F:\Template\sample1>cd full-versionF:\Template\sample1\full-version>npm installnpm WARN deprecated jvectormap@2.0.4: jvectormap is not maintened since Aug 2015. You can use jvectormap-next or jqvmap instead.npm ERR! Windows_NT 6.1.7601npm ERR! argv ""C:\\Program Files\\nodejs\\node.exe"" ""C:\\Users\\M",41.195,14,"krishnaucha,jessebarton,aaronlcope,adityabharti11,zkat,npm-robot,legodude17,adrian-moisa,reblace,davebiagioni,bxantus,kajensen,kamleshpaliwal-tudip,yusufali2205",14,jeeva-nikam,"bot-closed,bug,cache",3194.9655555555555,4408.737777777777,6,7
11,902,"Not all git+ssh URL formats are working in package.json ,  I'm opening this issue because: - [x] npm is producing an incorrect install. What's going wrong?npm install ignores dependencies in package.json when URL is in this format:git+ssh://user@hostname:project.gitcommit-ishwhile this URL format is working:git+ssh://user@hostname/project.gitcommit-ishAlso",-5.116000000000001,12,"zkat,iarna,cels,legodude17,kewl-ua",5,cels,"bug,git,needs-repro",10293.065277777778,2729.815,7,6
9,2601,"Upgrading npm from version >=3 via `npm install -g npm@latest` version fails on Docker.  ,  I'm opening this issue because: - [X] npm is crashing. - [X] npm is producing an incorrect install. - [X] npm is doing something I don't understand. - [ ] Other (_see below for feature requests_): What's going wrong?Running npm install@latest -g' using npm 3.10.9 shipped with node v6.9.2 breaks npm",13.539,8,"zkat,DrStrangepork,npm-robot,lxe,hugodes,hjhsalo,euanmillar",7,lxe,"bot-closed,bug,docker",19504.476944444443,4467.0922222222225,7,7
2,1636,"npm i -S @private/package endless unstoppable loop (video) ,  I'm opening this issue because: - [ ] npm is crashing. - [ ] npm is producing an incorrect install. - [x] npm is doing something I don't understand. - [ ] Other (_see below for feature requests_): What's going wrong?CLI can't be stopped with Ctrl+C. How can the CLI team reproduce the problem?I acci",6.574000000000001,3,"zkat,npm-robot,claireinez",3,koresar,"bot-closed,bug",7816.731666666667,4535.017222222222,7,7
4,834,"preversion not failing ,  I'm opening this issue because: - [x] npm is doing something I don't understand. - [x] Other (_see below for feature requests_): What's going wrong?I run validation during preversion:js{ ""scripts"": { ""validate"": ""npm test && npm run lint && npm run dependency-check"", ""preversion"": ""npm run validate",2.8890000000000002,5,"zkat,unional,legodude17,lholmquist",4,unional,"bug,needs-repro",40.60111111111111,122.92194444444445,2,3
5,1082,"npm install <tarball file> --save doesn't update shrinkwrap file ,  I'm opening this issue because: - The way I'm suppose to update dependency in ""shrinkwrapped"" project ([according to docs](https://docs.npmjs.com/cli/shrinkwrapbuilding-shrinkwrapped-packages)) doesn't work if that dependency is an url to a tarball file. What's going wrong?npm install <tarball file",12.085,5,"zkat,npm-robot,legodude17,szwacz",4,szwacz,"bot-closed,bug,needs-repro,shrinkwrap",2268.3977777777777,4625.301388888889,6,7
6,7771,"`npm i` fails with EPERM: operation not permitted, rename  ,  I'm opening this issue because: - [x ] npm is crashing. - [ ] npm is producing an incorrect install. - [x ] npm is doing something I don't understand. - [ ] Other (_see below for feature requests_): What's going wrong?npm i is crashing on Windows for https://github.com/chentsulin/electron-react-boi",-2.793,3,"othiym23,mateodelnorte,legodude17,bleuscyther",4,mateodelnorte,"bug,windows",6412.682777777778,0.6955555555555556,7,1
3,2102,"All-user permissions for global install? ,  I'm opening this issue because: - [ ] npm is crashing. - [x] npm is producing an incorrect install. - [ ] npm is doing something I don't understand. - [ ] Other (_see below for feature requests_): What's going wrong?On Linux, when I install a package globally with prefix /usr, the created directory",11.563000000000002,6,"zkat,othiym23,npm-robot,edemaine",4,edemaine,"bot-closed,bug,feature-request",27.371944444444445,4781.806666666666,1,7
3,1144,"Cannot install package from tarball out of package.json entry generated by npm ,  I'm opening this issue because: - [ ] npm is crashing. - [ ] npm is producing an incorrect install. - [x] npm is doing something I don't understand. - [ ] Other (_see below for feature requests_): What's going wrong?Cannot install package from tarball out of package.json entry generated by npm How",7.078,10,"zkat,mastertinner,iarna,legodude17",4,mastertinner,"bug,node-bug",3395.7994444444444,348.34722222222223,6,4
3,1400,"npm install with local cache causes infinite loop ,  I'm opening this issue because: - [ ] npm is crashing. - [ ] npm is producing an incorrect install. - [ ] npm is doing something I don't understand. - [X ] Other (_see below for feature requests_): npm install gets in an infinite loop What's going wrong?npm install from a local directory to a subdi",12.555,4,"zkat,npm-robot,ckuiawa",3,ckuiawa,"big-bug,bot-closed,bug",7816.731666666667,4811.966388888889,7,7
2,2918,"`$ npm install` halts without completing dependency installation when warnings are thrown ,  I'm opening this issue because: - [ ] npm is crashing. - [x] npm is producing an incorrect install. - [ ] npm is doing something I don't understand. - [ ] Other (_see below for feature requests_): What's going wrong?When I run $ npm install it throws warnings, but no errors (as it rightfully should",10.012,7,"zkat,othiym23,npm-robot,stamoern",4,DinkDonk,"bot-closed,bug,error-handling,ux",5178.521111111111,4850.4336111111115,7,7
14,3077,"URL instead of version number being saved in `package.json` ,  I'm opening this issue because: - [ ] npm is crashing. - [ ] npm is producing an incorrect install. - [x] npm is doing something I don't understand. - [ ] Other (_see below for feature requests_): What's going wrong?The URL for packages being written to package.json instead of the version when usin",14.253000000000002,20,"zkat,othiym23,legodude17,xzyfer,joshclow,ruchern-chong,iarna,DullReferenceException,mnquintana,sergejvoronov,almothafar,karimsa,jcollum",13,DullReferenceException,"bug,footgun,needs-discussion,npm5,shrinkwrap",5120.3052777777775,8744.057777777778,7,7
4,3066,"Shared folders in VMware: npm install fails with ENOENT (rename) ,  I'm opening this issue because: - [ ] npm is crashing. - [x] npm is producing an incorrect install. - [x] npm is doing something I don't understand. - [ ] Other (_see below for feature requests_): What's going wrong?npm install quits with ENOENT: no such file or directory, rename ...:npm ERR! Linux",14.773,4,"othiym23,npm-robot,iarna,charles-toller,svdb0",5,asterikx,"big-bug,bot-closed,bug",5120.3052777777775,4922.098888888889,7,7
13,3314,"npm --prefix doesn't work with --save on windows ,  I'm opening this issue because: - [ ] npm is crashing. - [x] npm is producing an incorrect install. - [ ] npm is doing something I don't understand. - [ ] Other (_see below for feature requests_): What's going wrong?When doing: npm install <module_name> --prefix path\to\package.json --save the pack",0,13,"othiym23,Tewfiq60,legodude17,npm-robot",4,Plamen5kov,"bot-closed,bug,windows",1725.9502777777777,4986.232777777778,6,7
4,1007,"npm version doesn't pass the right environment to git ,  I'm opening this issue because:On windows 7, npm version patch is invoking git without the correct environment, resulting in a commit with the wrong author. What's going wrong?The git commit author is unknown <windowsusername@machinename.mydomain> How can the CLI team reproduce the problem?Check yo",0,5,"othiym23,npm-robot",2,FredericHeem,"bot-closed,bug,patch-welcome,windows",22425.836666666666,5002.2108333333335,7,7
10,2233,"Wrong dependency version installed ,  I'm opening this issue because: - [ ] npm is crashing. - [x] npm is producing an incorrect install. - [ ] npm is doing something I don't understand. - [ ] Other (_see below for feature requests_): What's going wrong?In some cases, the dependency's version is incorrectly installed. How can the CLI t",11.849,23,"othiym23,zkat,iarna,zhanzhenzhen,benurb",5,zhanzhenzhen,bug,17963.71861111111,329.6188888888889,7,4
4,8591,"unable to update or run npm  ,  I'm opening this issue because: - [ ] npm is doing something I don't understand. I tried running node several times but consistently get this<pre>67 error Windows_NT 10.0.1439368 error argv ""C:\\Program Files\\nodejs\\node.exe"" ""C:\\Program Files\\nodejs\\node_modules\\npm\\bin\\npm-cli.js"" ""instal",-6.192,9,"othiym23,issacting93,zkat,legodude17,varjmes",5,issacting93,"bug,support,windows",11028.619166666667,1069.1894444444445,7,5
2,5916,"Maximum call stack size exceeded ,  I'm opening this issue because: - [x] npm is crashing. - [ ] npm is producing an incorrect install. - [ ] npm is doing something I don't understand. - [ ] Other (_see below for feature requests_): What's going wrong?77888 silly build read-pkg@1.1.077889 silly build read-pkg-up@1.0.177890 verbose st",8.887,5,"othiym23,npm-robot,legodude17",3,mr-moon,"big-bug,bot-closed,bug",931.2041666666667,5096.953055555556,5,7
4,2581,"Attempt to unlock C:\Program Files\nodejs\node_modules\express, which hasn't been locked ,  I'm opening this issue because:I'm trying to install express-generator from docker terminal, then I am getting unlock error but when I tried to install normally using root terminal it is not showing any error of unlock. npm install express express-generator -gnpm WARN locking Error: EPERM: operatio",8.425,5,"othiym23,npm-robot,legodude17,Ypavan91",4,Ypavan91,"big-bug,bot-closed,bug,windows",97.1613888888889,5100.4475,3,7
7,629,"Cannot install package ,  I'm opening this issue because: - [x] npm is crashing when performing an install of parasoid What's going wrong? How can the CLI team reproduce the problem?/parsoid-git/ makepkg -siFailure.See logs https://gist.github.com/MichaelJAndy/0c6a66460839203688515aeb4ef89ec5 supporting information: - npm -",-2.611,14,"zkat,KenanY,legodude17,MichaelJAndy,othiym23,iarna",6,MichaelJAndy,bug,61.31166666666667,324.63666666666666,2,4
2,3789,"npm install: Cannot convert undefined or null to object ,  I'm opening this issue because: - [x] npm is crashing. - [ ] npm is producing an incorrect install. - [ ] npm is doing something I don't understand. - [ ] Other (_see below for feature requests_): What's going wrong?Essentially, the registry data being passed into NPM is ""bad""(?). The pickVersionFr",6.596,8,"zkat,othiym23,npm-robot,legodude17",4,Freyert,"big-bug,bot-closed,bug",7816.731666666667,5120.3052777777775,7,7
24,733,"Shrinkwrap failing with git based dependencies ,  I'm opening this issue because: - [ ] npm is crashing. - [ ] npm is producing an incorrect install. - [x] npm is doing something I don't understand. - [ ] Other (_see below for feature requests_): What's going wrong?npm shrinkwrap is failing due to extraneous dependencies How can the CLI team repro",-9.393999999999997,30,"vernak2539,legodude17,KenanY,othiym23,the,rstudner,sabayounus",7,vernak2539,"bug,git,needs-repro",17971.404444444444,30.72138888888889,7,1
8,2365,"Could not install packages with bundledDependencies ,  I'm opening this issue because: - [x] npm is crashing. - [x] npm is producing an incorrect install. What's going wrong?json{ ""name"": ""@qa/npm-cache"", ""version"": ""0.0.1"", ""engines"": { ""node"": "">=6.2"", ""npm"": "">=3.8"" }, ""bundledDependencies"": [ ""git-info-sync"", ""debug"", ""fs-extra"", ""http-status"", ""re",10.285,8,"othiym23,legodude17,yukidaruma,npm-robot,kachkaev,julien-f",6,monolithed,"big-bug,bot-closed,bug,needs-repro",2489.1658333333335,5148.4413888888885,6,7
2,4033,"npm install -g phonegap error , i get the following error when i do npm$ npm install -g phonegapnpm WARN retry will retry, error on last attempt: Error: EBUSY: resource busy or locked, rename 'C:\Users\UITMPA~1\AppData\Local\Temp\npm-812-44c410d4\registry.npmjs.org\connect-phonegap\-\connect-phonegap-0.24.0.tgz.2025033871' -> 'C:\",9.137,4,"othiym23,npm-robot,legodude17",3,roslanjam,"bot-closed,bug,windows",1085.2413888888889,5159.7508333333335,5,7
9,3018,"npm install does not install anything with exit 0 when version is invalid  ,  I'm opening this issue because: - [ ] npm is crashing. - [ ] npm is producing an incorrect install. - [ ] npm is doing something I don't understand. - [x] Other (_see below for feature requests_): What's going wrong?Given a package.json with an invalid version field, npm install logs a warning abou",0,6,"legodude17,othiym23,npm-robot",3,salomvary,"bot-closed,bug,patch-welcome",3358.9333333333334,5178.521111111111,6,7
46,9769,"npm install shasum mismatch ,  I'm opening this issue because: - [ ] npm is crashing. - [x] npm is producing an incorrect install. - [ ] npm is doing something I don't understand. - [ ] Other (_see below for feature requests_): What's going wrong?I am attempting to do an npm install both locally and on my companies' build server",-547.7449999999998,30,"connected-crowshanbin,branpar,soldair,legodude17,othiym23,zkat,iarna,Guxingzhe,SoniaMane",9,branpar,"big-bug,bug,shasum",7816.731666666667,748.1433333333333,7,5
9,4383,"npm install --no-bin-links RangeError: Maximum call stack size exceeded ,  I'm opening this issue because: - [x] npm is crashing. - [x] npm is producing an incorrect install. - [x] npm is doing something I don't understand. - [ ] Other (_see below for feature requests_): What's going wrong?I get this error when running npm install --no-bin-linksnpm ERR! Linux 4.4.0-22-gen",9.199,7,"KenanY,othiym23,npm-robot,legodude17,AlexP11223,helio-frota",6,AlexP11223,"big-bug,bot-closed,bug,needs-repro",6172.565,5289.584722222222,7,7
